label,URL,amaa,crossvalidation,attributelength,qualitycontrol,regexlearner,none
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=45.17.241.236&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=45.17.241.236&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=45.17.241.236&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=45.17.241.236&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=45.17.241.236,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=Tarragon+-+Fresh&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=Tarragon+-+Fresh&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=Tarragon+-+Fresh&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=Tarragon+-+Fresh&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=Tarragon+-+Fresh,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=AC%3A67%3A81%3ADD%3A05%3ADA&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=AC%3A67%3A81%3ADD%3A05%3ADA&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=AC%3A67%3A81%3ADD%3A05%3ADA&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - quality,http://localhost/search?id=&searchString=jeans&price=&quality=AC%3A67%3A81%3ADD%3A05%3ADA&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - brands,http://localhost/search?id=&searchString=jeans&price=&quality=&brands=AC%3A67%3A81%3ADD%3A05%3ADA,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
## Connect to Hackazon,http://localhost/,200 OK,200 OK,200 OK,200 OK,200 OK,200 OK
ATCK - search_item,http://localhost/search?id=&searchString=Compound+-+Orange&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - id/category,http://localhost/search?id=Compound+-+Orange&searchString=jeans&price=&quality=&brands=,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,406 Not Acceptable,200 OK
ATCK - price range,http://localhost/search?id=&searchString=jeans&price=Compound+-+Orange&quality=&brands=,406 Not Acceptable,406 Not Acceptable,200 OK,406 Not Acceptable,406 Not Acceptable,200 OK
